[Ohm;312;2188;3300]
312;-50.0
450;-50.0
573;-40.0
579;-39.0
584;-38.0
590;-37.0
596;-36.0
602;-35.0
607;-34.0
613;-33.0
619;-32.0
624;-31.0
630;-30.0
636;-29.0
642;-28.0
648;-27.0
654;-26.0
660;-25.0
666;-24.0
672;-23.0
678;-22.0
684;-21.0
690;-20.0
697;-19.0
703;-18.0
710;-17.0
716;-16.0
723;-15.0
729;-14.0
736;-13.0
742;-12.0
749;-11.0
755;-10.0
762;-9.0
769;-8.0
775;-7.0
782;-6.0
789;-5.0
796;-4.0
803;-3.0
809;-2.0
816;-1.0
823;0.0
830;1.0
837;2.0
845;3.0
852;4.0
859;5.0
866;6.0
873;7.0
881;8.0
888;9.0
895;10.0
903;11.0
910;12.0
918;13.0
925;14.0
933;15.0
941;16.0
948;17.0
956;18.0
963;19.0
971;20.0
979;21.0
987;22.0
995;23.0
1003;24.0
1011;25.0
1018;26.0
1026;27.0
1034;28.0
1042;29.0
1050;30.0
1058;31.0
1067;32.0
1075;33.0
1084;34.0
1092;35.0
1100;36.0
1109;37.0
1117;38.0
1126;39.0
1134;40.0
1143;41.0
1151;42.0
1160;43.0
1169;44.0
1178;45.0
1186;46.0
1195;47.0
1204;48.0
1212;49.0
1221;50.0
1230;51.0
1239;52.0
1248;53.0
1257;54.0
1267;55.0
1276;56.0
1285;57.0
1294;58.0
1303;59.0
1312;60.0
1321;61.0
1331;62.0
1340;63.0
1350;64.0
1359;65.0
1368;66.0
1378;67.0
1387;68.0
1397;69.0
1406;70.0
1416;71.0
1426;72.0
1436;73.0
1446;74.0
1456;75.0
1465;76.0
1475;77.0
1485;78.0
1495;79.0
1505;80.0
1515;81.0
1525;82.0
1536;83.0
1546;84.0
1556;85.0
1566;86.0
1576;87.0
1587;88.0
1597;89.0
1607;90.0
1618;91.0
1628;92.0
1639;93.0
1649;94.0
1660;95.0
1671;96.0
1681;97.0
1692;98.0
1702;99.0
1713;100.0
1724;101.0
1735;102.0
1746;103.0
1757;104.0
1768;105.0
1779;106.0
1790;107.0
1801;108.0
1812;109.0
1823;110.0
1834;111.0
1846;112.0
1857;113.0
1868;114.0
1880;115.0
1891;116.0
1902;117.0
1913;118.0
1925;119.0
1936;120.0
1947;121.0
1959;122.0
1970;123.0
1982;124.0
1993;125.0
2188;125.0
